FECHA,HORA,SAG,VIF,XAL,ATI,CAM,CUT,FAC,TLA,TLI,BJU,HGM,IZT,MER,ACO,CHO,MPA,TAH,UIZ,AJM,CUA,INN,MGH,PED,SFE
1/1/2017,1,50,63,54,76,76,89,76,76,76,64,57,61,63,70,71,71,71,67,64,69,69,57,64,66
1/1/2017,2,56,64,58,80,80,90,80,80,80,68,55,63,67,73,74,69,73,67,65,68,69,57,66,65
1/1/2017,3,58,64,60,80,80,91,80,80,80,64,57,62,66,76,69,70,70,67,63,67,69,57,67,66
1/1/2017,4,57,66,60,79,79,86,79,79,79,67,58,64,66,76,74,73,71,68,65,69,71,60,69,67
1/1/2017,5,58,70,62,81,81,90,81,81,81,72,61,68,70,78,75,76,76,70,68,70,72,63,68,69
1/1/2017,6,60,72,66,82,82,91,82,82,82,72,64,69,71,80,77,74,76,72,67,70,73,64,68,70
1/1/2017,7,59,73,65,86,86,93,86,86,86,73,64,70,72,80,80,73,77,73,68,70,73,65,67,70
1/1/2017,8,58,72,64,86,86,93,86,86,86,72,65,70,73,80,82,74,78,74,68,70,73,66,67,72
1/1/2017,9,56,71,60,76,76,84,76,76,76,70,60,67,70,79,72,70,76,68,64,67,69,62,62,68
1/1/2017,10,52,64,54,53,53,66,53,53,53,65,58,62,64,73,63,65,69,62,65,66,65,60,60,67
1/1/2017,11,43,58,47,45,45,57,45,44,45,55,47,53,57,62,57,64,58,55,59,58,57,51,55,60
1/1/2017,12,37,51,41,39,39,50,37,40,39,47,39,45,48,53,50,60,49,48,54,55,51,43,47,54
1/1/2017,13,31,41,34,33,33,43,30,35,33,40,35,38,39,46,38,53,40,41,48,49,46,34,42,50
1/1/2017,14,26,33,31,31,31,36,29,32,31,36,33,35,37,36,38,48,41,38,46,49,44,34,40,47
1/1/2017,15,25,31,29,28,28,33,26,29,28,35,31,34,36,34,39,47,40,37,43,45,42,30,39,45
1/1/2017,16,25,30,28,28,28,34,27,28,28,33,29,32,35,33,38,48,41,35,45,45,43,29,40,44
1/1/2017,17,27,30,32,30,30,34,30,29,30,37,34,36,37,34,40,46,41,38,47,45,45,32,42,45
1/1/2017,18,30,31,37,35,35,38,35,35,35,40,38,40,42,41,43,50,44,42,51,50,48,35,45,48
1/1/2017,19,35,38,40,42,42,52,45,39,42,45,42,44,46,46,46,56,49,46,51,58,53,40,49,53
1/1/2017,20,36,42,42,49,49,50,52,45,49,48,44,47,49,50,50,54,50,49,49,63,57,44,52,56
1/1/2017,21,36,43,44,52,52,51,58,46,52,53,47,50,51,51,58,45,54,49,50,65,59,47,55,58
1/1/2017,22,36,46,44,55,55,67,61,48,55,53,47,51,52,55,58,40,59,50,52,65,61,49,58,60
1/1/2017,23,39,51,46,59,59,77,68,49,59,56,48,53,54,61,62,48,61,53,53,64,61,50,57,58
1/1/2017,24,41,55,49,63,63,84,73,52,63,59,49,55,56,65,63,53,61,56,55,62,63,52,56,62
1/2/2017,1,46,59,51,68,68,87,78,58,68,62,53,58,58,68,65,56,56,59,60,62,66,57,63,66
1/2/2017,2,50,64,53,70,70,90,80,60,70,60,53,57,59,73,63,48,64,58,62,63,67,57,64,68
1/2/2017,3,52,68,56,73,73,92,82,63,73,63,54,60,63,75,70,51,62,60,55,67,67,58,63,67
1/2/2017,4,54,72,59,75,75,93,84,65,75,66,58,63,66,77,73,53,66,60,55,67,67,60,63,66
1/2/2017,5,55,75,61,75,75,93,84,65,75,66,59,64,68,80,75,53,65,63,61,68,69,62,67,66
1/2/2017,6,57,74,61,76,76,94,86,66,76,66,57,63,66,82,75,56,69,64,60,66,69,61,67,67
1/2/2017,7,58,75,62,77,77,94,87,67,77,69,59,65,66,82,79,58,71,67,61,66,69,61,67,64
1/2/2017,8,57,76,62,78,78,94,88,68,78,68,58,64,66,81,78,56,72,65,59,66,68,62,67,63
1/2/2017,9,52,73,54,72,72,88,82,61,72,60,50,56,58,75,71,49,66,60,51,61,63,59,64,59
1/2/2017,10,46,65,47,52,52,67,53,51,52,51,43,48,51,63,61,47,56,54,52,52,53,52,55,53
1/2/2017,11,39,51,41,41,41,55,41,41,41,44,37,42,46,54,50,45,48,49,48,51,46,42,45,51
1/2/2017,12,32,41,33,33,33,45,32,33,33,37,30,35,39,40,41,38,38,39,39,46,39,34,37,44
1/2/2017,13,24,29,30,24,24,34,24,24,24,29,30,30,30,30,30,32,29,31,32,39,32,27,31,38
1/2/2017,14,14,20,18,20,20,24,18,21,20,23,18,21,23,21,26,24,25,22,25,27,24,20,22,29
1/2/2017,15,7,14,11,14,14,12,14,14,14,14,11,12,12,22,24,24,21,18,16,18,17,11,14,20
1/2/2017,16,7,12,10,14,14,13,11,17,14,9,10,10,10,20,24,26,20,15,12,15,14,6,11,15
1/2/2017,17,7,12,11,13,13,14,11,15,13,12,11,11,11,18,27,26,21,18,13,14,14,7,13,14
1/2/2017,18,6,13,13,14,14,20,13,15,14,12,12,13,14,17,34,28,22,18,17,17,18,9,18,19
1/2/2017,19,9,17,13,18,18,31,20,16,18,16,15,16,17,21,42,39,27,17,23,26,28,13,29,28
1/2/2017,20,11,21,15,25,25,27,28,22,25,21,21,21,20,26,50,39,38,23,23,29,33,19,29,31
1/2/2017,21,17,24,23,31,31,47,35,26,31,25,25,25,25,42,58,37,51,28,20,28,34,23,30,30
1/2/2017,22,32,33,36,34,34,55,40,28,34,27,27,27,27,58,61,40,46,30,23,27,34,20,31,28
1/2/2017,23,38,37,31,36,36,63,41,31,36,28,28,28,28,60,60,41,43,31,25,34,36,25,32,33
1/2/2017,24,38,38,33,39,39,69,44,33,39,32,30,32,33,64,59,48,56,33,31,41,41,28,36,40
1/3/2017,1,38,43,38,43,43,75,51,35,43,34,33,34,35,67,61,47,52,35,38,48,47,33,43,48
1/3/2017,2,45,47,46,49,49,79,58,40,49,38,37,38,39,71,65,49,57,39,46,53,53,39,48,55
1/3/2017,3,51,50,49,54,54,83,64,43,54,42,40,42,44,75,68,55,53,45,48,56,57,43,50,55
1/3/2017,4,55,53,54,58,58,87,68,47,58,50,48,50,51,78,71,57,55,57,50,58,59,46,56,57
1/3/2017,5,49,57,54,61,61,89,70,51,61,55,50,55,60,78,72,57,60,55,51,59,61,50,57,59
1/3/2017,6,49,59,55,64,64,92,74,53,64,56,52,56,59,78,74,56,57,62,53,61,63,52,60,63
1/3/2017,7,53,62,57,66,66,92,76,55,66,59,54,59,63,81,74,62,61,62,55,64,65,53,62,64
1/3/2017,8,58,64,58,68,68,93,78,57,68,60,54,60,65,81,74,64,69,67,57,65,66,54,66,65
1/3/2017,9,55,63,54,60,60,82,70,49,60,55,48,55,62,77,67,58,63,61,54,57,61,51,57,60
1/3/2017,10,45,57,45,43,43,64,46,39,43,49,42,49,56,64,59,55,57,55,50,50,52,47,50,52
1/3/2017,11,39,51,41,37,37,51,36,38,37,44,40,44,48,53,51,51,47,49,46,46,45,42,45,45
1/3/2017,12,33,39,35,32,32,41,31,33,32,39,34,38,41,43,45,42,40,41,38,40,38,35,37,38
1/3/2017,13,24,31,30,27,27,33,25,28,27,29,25,27,27,32,36,34,33,32,33,33,31,25,29,32
1/3/2017,14,18,24,25,23,23,28,21,24,23,25,23,24,24,29,31,28,27,25,30,32,29,23,27,32
1/3/2017,15,14,22,22,23,23,28,21,24,23,24,21,23,25,23,25,25,22,23,27,31,26,21,25,31
1/3/2017,16,14,21,20,22,22,22,21,22,22,22,20,21,21,23,21,23,22,24,27,30,26,21,25,30
1/3/2017,17,14,17,19,18,18,24,19,17,18,22,20,21,22,24,21,25,22,21,26,30,26,19,26,30
1/3/2017,18,12,18,17,18,18,26,18,18,18,20,16,18,18,22,21,24,21,22,27,27,25,16,24,27
1/3/2017,19,14,24,19,21,21,40,23,19,21,19,18,20,22,26,25,29,25,23,32,27,30,19,33,35
1/3/2017,20,18,26,22,29,29,45,34,24,29,23,22,23,25,30,31,31,27,25,30,34,36,24,37,38
1/3/2017,21,22,27,24,34,34,54,41,27,34,30,28,29,28,40,44,31,30,30,30,36,39,29,38,39
1/3/2017,22,26,33,27,38,38,67,44,31,38,34,33,33,31,42,52,38,32,32,34,39,41,30,39,40
1/3/2017,23,26,45,28,44,44,74,49,39,44,36,36,36,36,48,55,40,33,38,36,42,44,32,41,44
1/3/2017,24,31,53,30,48,48,80,52,43,48,38,38,39,42,53,59,41,35,41,36,44,47,34,44,50
1/4/2017,1,37,53,37,53,53,83,60,45,53,42,41,43,47,62,62,44,46,46,38,47,49,36,47,52
1/4/2017,2,40,54,43,57,57,83,65,48,57,48,43,47,49,65,65,44,51,49,39,49,51,37,47,54
1/4/2017,3,46,59,47,60,60,86,69,50,60,50,44,48,49,70,65,40,54,51,39,52,52,40,46,52
1/4/2017,4,48,64,55,62,62,89,71,52,62,54,48,53,56,71,68,41,55,56,37,51,54,48,48,47
1/4/2017,5,52,63,56,64,64,90,74,53,64,57,49,56,62,73,70,43,58,58,37,44,52,48,48,42
1/4/2017,6,53,66,57,66,66,92,76,55,66,58,53,57,60,72,70,38,59,61,31,43,50,51,44,37
1/4/2017,7,53,68,55,69,69,93,79,58,69,60,53,57,58,71,70,37,63,58,24,32,47,53,49,34
1/4/2017,8,50,66,56,70,70,93,82,58,70,63,50,58,60,74,72,35,64,54,23,32,49,55,55,37
1/4/2017,9,49,63,50,63,63,84,75,51,63,58,45,53,57,67,63,34,59,52,26,31,43,48,51,39
1/4/2017,10,41,54,41,42,42,59,43,41,42,49,39,46,50,53,51,34,48,47,29,23,35,42,42,27
1/4/2017,11,31,41,33,32,32,46,30,33,32,39,33,37,40,38,44,31,41,39,29,20,29,34,36,22
1/4/2017,12,23,31,27,23,23,36,22,23,23,29,25,28,31,31,34,16,27,29,17,18,21,23,25,18
1/4/2017,13,14,22,18,14,14,24,12,16,14,20,18,20,21,24,21,13,17,19,17,18,17,13,18,19
1/4/2017,14,9,17,14,14,14,20,12,15,14,16,14,16,17,19,19,15,15,17,17,17,16,12,16,20
1/4/2017,15,9,17,15,14,14,19,12,15,14,14,13,13,13,16,18,16,14,14,15,17,15,11,15,19
1/4/2017,16,8,16,15,14,14,19,12,15,14,14,14,14,14,14,16,16,14,14,15,16,15,11,15,18
1/4/2017,17,8,15,15,14,14,19,13,15,14,14,14,14,15,14,15,16,15,14,16,18,15,11,15,19
1/4/2017,18,8,16,15,15,15,22,14,16,15,16,15,16,16,16,19,16,16,15,18,20,18,13,17,20
1/4/2017,19,11,22,18,20,20,29,20,19,20,18,17,18,19,22,39,21,21,18,23,25,22,17,22,23
1/4/2017,20,15,24,21,25,25,35,26,23,25,22,21,22,23,29,45,25,30,21,25,28,27,22,27,30
1/4/2017,21,21,31,28,29,29,51,32,26,29,26,24,26,28,33,50,29,44,27,27,33,30,25,31,33
1/4/2017,22,24,36,29,35,35,63,40,30,35,30,28,30,31,36,54,33,46,30,31,36,36,26,37,37
1/4/2017,23,28,41,32,41,41,64,49,33,41,35,31,33,33,44,58,36,48,35,34,39,41,29,37,39
1/4/2017,24,32,43,36,45,45,73,54,36,45,40,35,38,40,49,62,38,52,38,32,39,43,34,38,37
1/5/2017,1,35,47,38,49,49,78,58,40,49,44,37,41,43,54,61,39,54,48,32,37,46,38,39,35
